,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
249,13133,Decentral Games ICE,ICE,decentral-games-ice,1069.0,1,1,2021-10-26T16:42:17.000Z,2022-10-28T09:57:00.000Z,3890.0,Polygon,MATIC,polygon,0xc6c855ad634dcdad23e64da71ba85b8c51e5ad7c,
250,9073,Popsicle Finance,ICE,popsicle-finance,4090.0,1,1,2021-04-01T16:34:09.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf16e81dce15b08f326220742020379b855b87df9,
251,1735,iDice,ICE,idice,,1,0,2017-06-23T19:35:10.000Z,2018-04-16T18:59:12.000Z,1027.0,Ethereum,ETH,ethereum,0x5a84969bb663fb64F6d015DcF9F622Aedc796750,
252,15828,Ice DAO,ICE,ice-dao,,1,0,2021-12-09T04:21:08.000Z,2022-08-16T18:21:00.000Z,5805.0,Avalanche,AVAX,avalanche,0x9235b893a3e61a14b2d02a91ec1394fbf411689e,
253,138,iCoin,ICN,icoin,,1,0,2014-02-17T13:25:07.000Z,2019-02-08T18:29:01.000Z,,,,,,
254,1408,Iconomi,ICN,iconomi,,1,0,2016-09-30T18:05:28.000Z,2019-07-22T14:54:02.000Z,,,,,,
255,18171,I-COIN,ICN,i-coin,,1,0,2022-02-17T09:20:00.000Z,2022-03-27T18:25:00.000Z,1839.0,BNB,BNB,bnb,0x4F7413B6ac872D971684A26825AF43870864579C,
256,2082,ICOS,ICOS,icos,,1,0,2017-10-23T18:34:26.000Z,2019-02-08T18:29:03.000Z,1027.0,Ethereum,ETH,ethereum,0x014b50466590340d41307cc54dcee990c8d58aa8,
257,2459,indaHash,IDH,indahash,6405.0,1,1,2018-01-24T04:39:27.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5136C98A80811C3f46bDda8B5c4555CFd9f812F0,
258,1888,InvestFeed,IFT,investfeed,2092.0,1,1,2017-08-13T23:29:23.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7654915a1b82d6d2d0afc37c52af556ea8983c7e,
259,8949,IFToken,IFT,iftoken,5039.0,1,1,2021-03-24T18:20:00.000Z,2022-10-28T09:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2731d151cbdf84a8a4c6d9d0bae74012db51e428,
260,2276,Ignis,IGNIS,ignis,1015.0,1,1,2017-12-13T18:04:51.000Z,2022-10-28T09:59:00.000Z,,,,,,
261,1475,Incent,INCNT,incent,,1,0,2016-12-07T02:21:01.000Z,2021-10-18T18:19:05.000Z,,,,,,
262,1967,Indorse Token,IND,indorse-token,2070.0,1,1,2017-09-19T02:49:57.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf8e386eda857484f5a12e4b5daa9984e06e73705,
263,19759,Infinity DAO,IND,infinity-dao,5661.0,1,1,2022-04-25T15:11:00.000Z,2022-10-28T09:56:00.000Z,1839.0,BNB,BNB,bnb,0x986d88736cc8c18069b75a3023ec3880f3b20562,
264,22088,Infinity Angel,ING,infinity-angel,2914.0,1,1,2022-10-06T14:18:00.000Z,2022-10-28T09:58:00.000Z,1839.0,BNB,BNB,bnb,0xae7c682ba26ad6835b6150ffb35f22db9987f509,
265,2504,Iungo,ING,iungo,,1,0,2018-02-04T23:14:29.000Z,2020-10-23T03:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x24ddff6d8b8a42d835af3b440de91f3386554aa4,
266,2558,Insights Network,INSTAR,insights-network,760.0,1,1,2018-03-03T01:04:20.000Z,2022-10-28T09:59:00.000Z,,,,,,
267,2421,VouchForMe,IPL,insurepal,2357.0,1,1,2018-01-19T01:44:25.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x64CdF819d3E75Ac8eC217B3496d7cE167Be42e80,
268,2617,IP Exchange,IPSX,ip-exchange,,1,0,2018-03-27T17:19:21.000Z,2020-10-23T03:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x001f0aa5da15585e5b2305dbab2bac425ea71007,
